0,0.33
0,0.33
0,0.33
0,0.33
0,0.32
0,0.31
0,0.31
0,0.32
0,0.34
0,0.35
0,0.38
0,0.39
1,0.40
1,0.38
1,0.36
1,0.30
1,0.24
1,0.16
2,0.10
2,0.01
2,-0.05
2,-0.11
3,-0.17
3,-0.19
3,-0.18
4,-0.17
4,-0.11
4,-0.09
4,-0.03
4,-0.00
5,0.03
5,0.07
5,0.13
5,0.19
5,0.26
6,0.28
6,0.28
6,0.29
6,0.33
6,0.40
7,0.43
7,0.45
8,0.52
8,0.53
8,0.52
8,0.46
8,0.41
10,0.34
10,0.32
11,0.37
11,0.46
12,0.49
12,0.49
13,0.51
13,0.51
14,0.49
14,0.40
15,0.28
15,0.19
16,0.13
16,0.06
17,-0.01
17,-0.03
17,-0.08
17,-0.15
17,-0.16
18,-0.22
18,-0.23
20,-0.24
20,-0.21
20,-0.20
21,-0.18
21,-0.19
21,-0.24
21,-0.19
21,-0.12
22,-0.12
22,-0.11
22,-0.09
23,-0.07
23,-0.02
23,-0.02
23,-0.04
23,-0.09
24,-0.00
24,0.06
24,0.09
24,0.10
24,0.06
24,-0.00
24,-0.00
25,-0.02
25,-0.09
25,-0.21
25,-0.23
25,-0.28
26,-0.32
26,-0.37
26,-0.38
27,-0.34
27,-0.30
27,-0.27
27,-0.27
27,-0.28
28,-0.30
28,-0.23
28,-0.19
30,-0.13
30,-0.15
30,-0.13
30,-0.08
30,-0.08
31,-0.06
31,-0.06
31,-0.08
32,-0.10
32,-0.11
32,-0.08
32,-0.07
32,-0.09
33,-0.11
33,-0.06
33,-0.02
33,-0.07
33,-0.12
34,-0.11
34,-0.16
34,-0.18
35,-0.27
35,-0.23
36,-0.19
36,-0.17
36,-0.16
37,-0.12
37,-0.18
37,-0.17
37,-0.20
37,-0.14
38,-0.07
38,-0.00
38,-0.03
40,-0.04
40,-0.02
40,0.03
41,0.09
41,0.16
42,0.18
42,0.14
42,0.10
42,0.01
42,-0.10
43,-0.04
43,-0.05
43,-0.03
43,-0.04
43,-0.14
44,-0.26
44,-0.33
45,-0.40
45,-0.35
45,-0.32
46,-0.30
46,-0.31
46,-0.27
46,-0.29
46,-0.31
47,-0.35
